"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"C PREDELOVALNE DEJAVNOSTI";0.6;0.5;0.6;0.5;0.5;0.4;0.6;0.4;0.4;0.5;0.7;0.5;0.7;0.8;1.0;0.7;1.0;0.9
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";0.1;0.2;0.1;0.4;0.1;0.2;0.2;0.1;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.3;0.2
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";0.1;0.4;0.3;0.2;0.2;0.2;0.2;0.1;0.3;0.3;0.3;0.3;0.4;0.5;0.4;0.4;N;N
" ";"F GRADBENIŠTVO";0.9;1.6;1.8;1.8;2.0;1.8;2.0;1.3;1.9;2.1;2.0;1.2;2.7;3.4;2.5;1.1;3.4;2.7
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";0.7;0.5;0.7;0.5;0.5;0.4;0.5;0.4;0.4;0.5;0.5;0.6;0.7;0.8;0.7;0.7;0.8;1.0 M
" ";"H PROMET IN SKLADIŠÈENJE";0.5;0.6;0.8;0.9;0.6;0.6;0.5;0.4;0.5;0.6;0.7;0.9;1.0;1.2;1.3;1.4;0.9;1.1
" ";"I GOSTINSTVO";1.0;1.0;1.1;0.9;0.9;0.9;0.8;0.9;0.6;0.9;1.2;1.5;1.8;2.1;2.0;1.9;1.3;1.4
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";0.5;0.2;0.4;0.3;0.6;0.2;0.4;0.3;0.3;0.4;0.6;0.6;0.8;0.9;1.0;1.0;1.1;1.1
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";0.5;0.4;0.5;0.4;0.4;0.3;0.4;0.3;0.4;0.5;0.5;0.6;0.7;1.0;0.8;0.7;0.7;0.9
" ";"L POSLOVANJE Z NEPREMIÈNINAMI";1.2;0.9;0.4;0.5;0.3;0.3;0.9;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;1.1;0.3;0.9
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";1.1;0.8;1.8;0.9;1.4;0.8;0.8;0.8;0.9;0.8;1.2;0.9;1.3;1.3;1.6;1.4;1.4;1.6
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";2.0;2.2;2.7;2.5;2.5;1.7;2.2;1.6;2.4;2.2;2.1;2.1;2.1;1.6;1.8;1.5;1.8;2.1
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.4;0.5;0.6;0.6;0.6;0.5;0.1;0.2
" ";"P IZOBRAŽEVANJE";0.4;0.9;0.8;0.3;0.3;0.3;1.1;0.2;0.2;0.3;1.1;0.3;0.2;0.2;1.0;0.3;0.2;0.2 M
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";0.4;0.4;0.5;0.4;0.4;0.5;0.5;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.3;0.5
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";0.3;0.2;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.4;0.8;0.4;0.4;0.3;0.3
" ";"S DRUGE DEJAVNOSTI";0.7;0.8;0.9;0.7;0.5;0.5;0.6;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.9;1.0;1.8;1.7

"Vir: Statistièni urad Republike Slovenije.  "
" "
"PROSTA DELOVNA MESTA:  "
"- Od 2001Q1 do 2013Q1 so bili vsi podatki o prostih delovnih mestih "
"pridobljeni od Zavoda RS za zaposlovanje; od 12. aprila 2013 pa "
"zajetje vseh prostih delovnih mest v tej evidenci ni veè popolno,  "
"ker je takrat zaèel veljati Zakon o spremembah in dopolnitvah Zakona "
"o urejanju trga dela (ZUTD-A), ki je ukinil obvezno prijavo prostega "
